loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.5616,0.4688752591609955,0.0,0.0019743336623889436,1,,,,,,,,,
1.5239,0.6225927472114563,9.640184455025471e-05,0.3336623889437315,169,,,,,,,,,
,,,0.3336623889437315,169,1.4771455526351929,107.6488,3.53,1.18,,,,,
1.4833,0.6474369764328003,7.977063355200272e-05,0.667324777887463,338,,,,,,,,,
,,,0.667324777887463,338,1.4534379243850708,107.2984,3.542,1.184,,,,,
1.4741,1.2047721147537231,5.431716214707338e-05,1.0,507,,,,,,,,,
,,,1.0,507,1.440117597579956,107.5121,3.534,1.181,,,,,
1.398,0.7065896391868591,2.7584338436362518e-05,1.3336623889437316,676,,,,,,,,,
,,,1.3336623889437316,676,1.4324061870574951,107.5842,3.532,1.18,,,,,
1.39,0.734713613986969,7.494195109222274e-06,1.6673247778874631,845,,,,,,,,,
,,,1.6673247778874631,845,1.4260910749435425,107.3625,3.539,1.183,,,,,
1.3826,1.623473882675171,2.660644157825853e-10,2.0,1014,,,,,,,,,
,,,2.0,1014,1.4272862672805786,107.438,3.537,1.182,,,,,
,,,2.0,1014,,,,,6457.1306,0.942,0.157,6.219176828043264e+16,1.4420219337681577
