Modelo;mean_precision;mean_recall;mean_f1;backbone_for_bertscore;idf;rescale_with_baseline;batch_size;device;n_examples;lang;mean_automated_readability;mean_coleman_liau;mean_dale_chall;mean_flesch_kincaid_grade;mean_flesch_reading_ease;mean_gunning_fog;mean_num_sentences;mean_num_words;mean_reading_time_sec;mean_smog_index;mean_syllables;mean_text_standard;mean_alignscore_nli;std_alignscore_nli;min_alignscore_nli;max_alignscore_nli;mean_alignscore_bin;std_alignscore_bin;min_alignscore_bin;max_alignscore_bin;n_examples;backbone;batch_size;device;ckpt_path;Batch size;VRAM_inference_mean;VRAM/batch;inferencia_time
DeepSeek;0,835;0,837;0,836;roberta-large;True;False;1;cuda;380;en;13,231;13,978;8,953;9,844;53,312;10,28;29,787;465,342;39,367;11,991;766,897;10,871;0,437;0,095;0,204;0,747;0,642;0,176;0,128;0,995;380;roberta-large;16;cuda;models/alignscore/AlignScore-large,ckpt;4;5;0,8;41
Gemma3;0,816;0,813;0,814;roberta-base;True;False;1;cuda;380;en;14,23;14,36;9,531;9,88;53,407;10,364;26,834;408,768;34,983;11,834;659,589;10,726;0,384;0,114;0,095;0,925;0,443;0,14;0,014;0,98;380;roberta-large;16;cuda;models/alignscore/AlignScore-large,ckpt;15;15;1;15
Llama3,2;0,83;0,815;0,822;roberta-base;True;False;1;cuda;380;en;13,313;13,98;9,515;9,827;54,948;10,864;21,25;352,155;28,659;11,831;555,982;10,824;0,433;0,104;0,188;0,907;0,472;0,125;0,108;0,801;380;roberta-large;32;cuda;models/alignscore/AlignScore-large,ckpt;15;15;1;11,3
Qwen3;0,844;0,819;0,831;roberta-large;True;False;1;cuda;380;en;12,694;13,232;9,029;9,773;54,833;10,497;16,108;259,761;20,777;11,978;413,076;10,934;0,447;0,124;0,11;0,797;0,458;0,144;0,029;0,784;380;roberta-large;16;cuda;models/alignscore/AlignScore-large,ckpt;4;4,5;0,9;39,71
claude_API;0,812;0,81;0,811;roberta-large;True;False;1;cuda;380;en;7,705;9,366;6,47;4,207;84,082;5,029;62,592;650,795;48,169;7,395;860,537;5,974;0,507;0,077;0,180;0,726;0,674;0,117;0,329;0,957;380;roberta-large;8;cuda;models/alignscore/AlignScore-large,ckpt;;;;
Gemini_API;0,818;0,807;0,813;roberta-large;True;False;1;cuda;380;en;5,991;7,755;6,286;3,348;89,067;4,68;70,65;708,108;49,409;6,64;899,497;5,761;0,506;0,082;0,217;0,703;0,549;0,084;0,269;0,768;380;roberta-large;64;cuda;models/alignscore/AlignScore-large,ckpt;;;;
GPT5_API;0,831;0,808;0,82;roberta-large;True;False;1;cuda;379;en;8,623;9,489;7,332;5,246;81,925;6,501;23,224;315,683;22,822;7,977;414,098;7,024;0,616;0,102;0,280;0,820;0,655;0,103;0,306;0,881;379;roberta-large;16;cuda;models/alignscore/AlignScore-large,ckpt;;;;
Grok_API;0,821;0,81;0,815;roberta-large;True;False;1;cuda;380;en;5,772;7,843;7,102;2,996;89,741;4,274;93,25;828,103;58,51;6,316;1055,408;6,05;0,429;0,074;0,228;0,662;0,500;0,102;0,260;0,859;380;roberta-large;8;cuda;models/alignscore/AlignScore-large,ckpt;;;;
DeepSeek_OPT;0,851;0,845;0,848;roberta-large;True;False;1;cuda;380;en;12,079;12,804;8,912;9,173;56,916;9,754;29,203;432,934;34,937;11,679;688,739;10,195;0,446;0,113;0,143;0,965;0,647;0,175;0,191;0,999;380;roberta-large;16;cuda;models/alignscore/AlignScore-large,ckpt;4;4,6;0,9;51
Gemma3_OPT;0,858;0,855;0,856;roberta-large;True;False;1;cuda;380;en;13,574;14,034;9,263;10,222;50,973;10,372;29,182;454,637;37,75;12,379;743,139;11,158;0,474;0,108;0,178;0,853;0,688;0,172;0,229;1;380;roberta-large;16;cuda;models/alignscore/AlignScore-large,ckpt;4;3,4;1,2;25
Llama3,2_OPT;0,86;0,856;0,858;roberta-large;True;False;1;cuda;380;en;13,621;13,879;9,09;10,311;51,658;10,629;29,239;462,413;38,178;12,499;752,287;11,271;0,468;0,122;0,133;0,893;0,52;0,138;0,15;0,991;380;roberta-large;16;cuda;models/alignscore/AlignScore-large,ckpt;4;4,3;0,9;19
Qwen3_OPT;0,851;0,852;0,851;roberta-large;True;False;1;cuda;380;en;12,857;13,589;8,671;9,61;54,165;9,623;34,321;511,097;42,011;12,011;824,589;10,463;0,471;0,111;0,122;0,806;0,687;0,157;0,237;0,999;380;roberta-large;16;cuda;models/alignscore/AlignScore-large,ckpt;4;3,75;1,1;40
DeepSeek_COT;0,855;0,846;0,85;roberta-large;True;False;1;cuda;380;en;12,508;12,933;8,78;9,495;56,197;10,116;30,05;457,505;36,878;11,814;727,832;10,411;0,455;0,111;0,081;0,894;0,619;0,176;0,029;1;380;roberta-large;16;cuda;models/alignscore/AlignScore-large,ckpt;4;4,6;0,9;51
Gemma3_COT;0,864;0,845;0,854;roberta-large;True;False;1;cuda;380;en;14,015;14,084;9,656;10,529;50,273;11,181;22,342;352,629;29,377;12,667;578,405;11,608;0,489;0,149;0,011;0,995;0,673;0,182;0,136;1;380;roberta-large;16;cuda;models/alignscore/AlignScore-large,ckpt;4;3,4;1,2;25
Llama3,2_COT;0,864;0,848;0,856;roberta-large;True;False;1;cuda;380;en;12,7;13,28;8,981;9,627;55,028;10,255;27,418;420,966;34,253;12,078;675,497;10,837;0,526;0,124;0,139;0,943;0,686;0,171;0,063;0,999;380;roberta-large;16;cuda;models/alignscore/AlignScore-large,ckpt;4;4,3;0,9;19
