loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.4753,0.1941688507795334,0.0,0.005266622778143515,1,,,,,,,,,
1.697,0.28814589977264404,9.938781577127306e-05,0.20013166556945358,38,,,,,,,,,
,,,0.20013166556945358,38,1.6627181768417358,117.2985,3.24,3.24,,,,,
1.6344,0.33476853370666504,9.417911578682229e-05,0.40026333113890716,76,,,,,,,,,
,,,0.40026333113890716,76,1.617822289466858,117.5426,3.233,3.233,,,,,
1.6357,0.2876097559928894,8.418292309725738e-05,0.6003949967083607,114,,,,,,,,,
,,,0.6003949967083607,114,1.5993828773498535,117.1915,3.243,3.243,,,,,
1.6151,0.29778409004211426,7.087863815162298e-05,0.8005266622778143,152,,,,,,,,,
,,,0.8005266622778143,152,1.5897319316864014,117.1846,3.243,3.243,,,,,
1.6505,0.4240071177482605,5.499557304089419e-05,1.0,190,,,,,,,,,
,,,1.0,190,1.5837942361831665,117.6253,3.231,3.231,,,,,
1.5907,0.40934157371520996,3.8571160076882204e-05,1.2001316655694536,228,,,,,,,,,
,,,1.2001316655694536,228,1.5774734020233154,117.5372,3.233,3.233,,,,,
1.5889,0.3954199254512787,2.3385239255263077e-05,1.4002633311389072,266,,,,,,,,,
,,,1.4002633311389072,266,1.5744638442993164,117.6726,3.229,3.229,,,,,
1.5687,0.3376066982746124,1.1083440730898974e-05,1.6003949967083608,304,,,,,,,,,
,,,1.6003949967083608,304,1.5730090141296387,117.2178,3.242,3.242,,,,,
1.5893,0.3526114523410797,2.9988552559761294e-06,1.8005266622778144,342,,,,,,,,,
,,,1.8005266622778144,342,1.5723145008087158,117.1935,3.243,3.243,,,,,
1.609,0.4833811819553375,7.573111971148627e-09,2.0,380,,,,,,,,,
,,,2.0,380,1.5722370147705078,117.1998,3.242,3.242,,,,,
,,,2.0,380,,,,,7966.3911,0.763,0.048,5.62518666256343e+16,1.6173580386136708
