loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.5811,0.4217078983783722,0.0,0.00303951367781155,1,,,,,,,,,
1.6198,0.7557399868965149,0.00029328398623518453,0.24924012158054712,82,,,,,,,,,
,,,0.24924012158054712,82,1.5182727575302124,56.0088,4.41,1.482,,,,,
1.5629,0.6936697363853455,0.0002643243082691454,0.49848024316109424,164,,,,,,,,,
,,,0.49848024316109424,164,1.50086510181427,56.012,4.41,1.482,,,,,
1.5259,0.7103939056396484,0.00021697740774062854,0.7477203647416414,246,,,,,,,,,
,,,0.7477203647416414,246,1.4890128374099731,56.0166,4.409,1.482,,,,,
1.5245,0.58101487159729,0.00015885827056856712,0.9969604863221885,328,,,,,,,,,
,,,0.9969604863221885,328,1.481164574623108,55.9787,4.412,1.483,,,,,
1.4811,0.7618995308876038,9.931442333327544e-05,1.2462006079027357,410,,,,,,,,,
,,,1.2462006079027357,410,1.4774059057235718,55.9852,4.412,1.483,,,,,
1.4873,0.7231583595275879,4.7922534268459083e-05,1.4954407294832825,492,,,,,,,,,
,,,1.4954407294832825,492,1.4737426042556763,56.0197,4.409,1.482,,,,,
1.4747,0.8043637871742249,1.2948160511068396e-05,1.7446808510638299,574,,,,,,,,,
,,,1.7446808510638299,574,1.4716838598251343,55.9896,4.412,1.482,,,,,
1.4941,0.7514731884002686,1.636644151906674e-08,1.993920972644377,656,,,,,,,,,
,,,1.993920972644377,656,1.4711787700653076,55.9924,4.411,1.482,,,,,
,,,2.0,658,,,,,3332.4243,1.185,0.197,3.984590302150656e+16,1.5209052156894765
