Modelo,score_compuesto,mean_alignscore,mean_f1,mean_flesch_reading_ease,inferencia_time,std_alignscore
Llama3.2-3b_COT,0.7240386263307204,0.6666666666666665,0.8304154858044264,0.768590743629745,0.13225058004640355,0.5
Llama3.2-1b_COT,0.6872933528707272,0.7708333333333333,0.8442977889795067,0.6032241289651585,0.5531322505800463,0.7
phi3.5,0.6531003236468286,0.375,0.6377732762973665,1.0,0.1187935034802784,0.9000000000000001
Qwen3_COT,0.6311382941545838,0.39583333333333315,0.30266673968971247,0.9760790431617266,0.9999999999999999,0.19999999999999996
Gemma_COT,0.5956827787008717,0.8125,0.8202792760197468,0.3692147685907434,0.18422273781902543,0.9999999999999998
phi3.5_COT,0.56,1.0,1.0,0.0,0.0,0.8
Qwen3-1.7b,0.435116225390874,0.3124999999999999,0.3670367925048623,0.5715028601144043,0.9870069605568444,0.3999999999999999
Llama3.2-3b,0.4075810189443468,0.06249999999999989,0.034950052099645745,0.7977119084763391,0.13967517401392104,0.0
Llama3.2-1b,0.3712730633583815,0.10416666666666663,0.06864901509965193,0.6640665626625064,0.06310904872389789,0.09999999999999987
Gemma-3-1b-pt,0.26260872356007925,0.0,0.0,0.5278211128445136,0.8519721577726215,0.0
