Modelo;mean_precision;mean_recall;mean_f1;backbone_for_bertscore;idf;rescale_with_baseline;batch_size;device;n_examples;lang;mean_automated_readability;mean_coleman_liau;mean_dale_chall;mean_flesch_kincaid_grade;mean_flesch_reading_ease;mean_gunning_fog;mean_num_sentences;mean_num_words;mean_reading_time_sec;mean_smog_index;mean_syllables;mean_text_standard;mean_alignscore;std_alignscore;min_alignscore;max_alignscore;n_examples;backbone;evaluation_mode;batch_size;device;ckpt_path;flag_threshold;VRAM_inference_min;VRAM_inference_max;VRAM_inference_mean;inferencia_time
Gemma-3-1b-pt;0.8211168294;0.813881974;0.8173210585;roberta-base;TRUE;FALSE;1;cpu;380;en;13,62;14,09;11,47;11,82;40,56;14,32;19,84;320,62;26,71;13,54;565,23;12,95;0,28;0,08;0,12;0,61;380;roberta-base;nli_sp;16;cpu;models/alignscore/AlignScore-base.ckpt;0,5;2,6;3,9;3,25;36,8
Llama3.2-1b;0.8279218649;0.8130444172;0.8203009269;roberta-base;TRUE;FALSE;1;cpu;379;en;12,96;13,54;11,04;11,49;43,18;13,88;20,09;334,71;26,89;13,3;576,44;12,55;0,33;0,09;0,12;0,56;379;roberta-base;nli_sp;16;cpu;models/alignscore/AlignScore-base.ckpt;0,5;3,3;4,6;3,95;19,8
Llama3.2-3b;0.8233839535;0.8144823029;0.8188381459;roberta-base;TRUE;FALSE;1;cpu;380;en;12,4;13,01;10,84;11,07;45,75;13,36;24,1;398,54;31,52;12,95;676,41;12,1;0,31;0,08;0,13;0,54;380;roberta-base;nli_sp;16;cpu;models/alignscore/AlignScore-base.ckpt;0,5;3,7;5,5;4,6;21,45
Qwen3-1.7b;0.8431139626;0.8237934232;0.8332531347;roberta-base;TRUE;FALSE;1;cuda;380;en;12,6;13,29;11,7;11,58;41,4;14,58;17,33;269,06;21,58;13,47;471,59;12,47;0,43;0,12;0,16;0,85;380;roberta-base;nli_sp;16;cuda;models/alignscore/AlignScore-base.ckpt;0,5;3,7;5,8;4,75;39,71
phi3.5;0.8530013039;0.8377719272;0.8450050745;roberta-base;TRUE;FALSE;1;cpu;380;en;14,25;15,24;9,99;10,43;49,64;11,08;22,83;364,8;30,85;12,33;599,16;11,26;0,46;0,17;0,11;0,98;380;roberta-base;nli_sp;16;cpu;models/alignscore/AlignScore-base.ckpt;0,5;18;21;19,5;21
Qwen3_COT;0.8411090565;0.8202082284;0.8304590045;roberta-base;TRUE;FALSE;1;cuda;380;en;10,76;12,13;10,86;9,95;49,18;12,58;20,2;279,91;21,83;12,23;472,72;11,14;0,47;0,1;0,23;0,71;380;roberta-base;nli_sp;16;cuda;models/alignscore/AlignScore-base.ckpt;0,5;3,7;5,8;4,75;39,99
phi3.5_COT;0.8777736883;0.8455527343;0.8607283586;roberta-base;TRUE;FALSE;1;cuda;380;en;14,69;15,17;12,64;13,33;30,41;16,39;19,18;307,09;26,17;14,68;572,85;14,25;0,76;0,16;0,09;0,97;380;roberta-base;nli_sp;16;cuda;models/alignscore/AlignScore-base.ckpt;0,5;20;22;21;18,44
Gemma_COT;0.859263853;0.8474098648;0.8529271672;roberta-base;TRUE;FALSE;1;cuda;380;en;13,38;13,82;12,3;12,16;37,51;15,32;25,69;396,22;32,95;14,12;717,66;13,24;0,67;0,18;0,11;0,98;380;roberta-base;nli_sp;16;cuda;models/alignscore/AlignScore-base.ckpt;0,5;2,7;4,1;3,4;22,41
Llama3.2-1b_COT;0.8583057788;0.8500750455;0.853969746;roberta-base;TRUE;FALSE;1;cuda;380;en;12,45;13,12;11,73;11,43;42,01;14,43;29,68;462,39;37,49;13,55;816,62;12,52;0,65;0,15;0,21;0,96;380;roberta-base;nli_sp;16;cuda;models/alignscore/AlignScore-base.ckpt;0,5;3,1;4,6;3,85;30,36
Llama3.2-3b_COT;0.8559510338;0.8510684862;0.8533671527;roberta-base;TRUE;FALSE;1;cuda;380;en;11,76;12,61;11,43;10,84;45,19;13,66;34,11;517,83;41,36;13,05;899,01;12,02;0,6;0,13;0,26;0,94;380;roberta-base;nli_sp;16;cuda;models/alignscore/AlignScore-base.ckpt;0,5;3,1;4,6;3,85;21,29
